"Canton","Mesures","Taux de chômage","Chômeurs inscrits","Taux de chômage","Chômeurs inscrits"
"Zurich",,"3.4","27'992","3.4","27'992"
"Berne",,"2.4","13'633","2.4","13'633"
"Lucerne",,"1.7","3'875","1.7","3'875"
"Uri",,"0.7","129","0.7","129"
"Schwyz",,"1.7","1'447","1.7","1'447"
"Obwald",,"0.8","176","0.8","176"
"Nidwald",,"1","241","1","241"
"Glaris",,"1.8","415","1.8","415"
"Zoug",,"2.3","1'574","2.3","1'574"
"Fribourg",,"2.7","4'372","2.7","4'372"
"Soleure",,"2.7","3'900","2.7","3'900"
"Bâle-Ville",,"3.5","3'514","3.5","3'514"
"Bâle-Campagne",,"2.8","4'151","2.8","4'151"
"Schaffhouse",,"3","1'322","3","1'322"
"Appenzell Rhodes-Extérieures",,"1.8","543","1.8","543"
"Appenzell Rhodes-Intérieures",,"0.8","68","0.8","68"
"St-Gall",,"2.2","6'054","2.2","6'054"
"Grisons",,"1","1'084","1","1'084"
"Argovie",,"2.9","10'719","2.9","10'719"
"Thurgovie",,"2.1","3'126","2.1","3'126"
"Tessin",,"3","4'982","3","4'982"
"Vaud",,"4.3","17'105","4.3","17'105"
"Valais",,"2.9","5'005","2.9","5'005"
"Neuchâtel",,"5.3","4'852","5.3","4'852"
"Genève",,"5.1","12'044","5.1","12'044"
"Jura",,"4.4","1'603","4.4","1'603"
"Total",,"3","133'926","3","133'926"
